가맹점명,가맹점 주소,가맹점 업종,캐시백 인센티브 가맹점 여부,QR 가맹점 여부,2026년 아동건강체험활동비 사용 여부
고즈넉키친협재점,"제주 제주시 한림읍 문교길11, 1층 (한림리) ",기타,Y,N,N
한우리독서토론논술 강정홈교실,"제주 서귀포시  대청로 12, 101동 1002호 지구 (강정동, 서귀포중흥에스클래스아파트) ",입시/교습학원,Y,N,N
뮤튼(MUTUN),"제주 제주시 서광로28길41, 1층 101호 (이도이동) ",기타,Y,N,N
블레스크,제주특별자치도 제주시 중앙로 52 (일도일동) 1층,음식점/식음료업,Y,Y,N
금별맥주이도구남점,제주 제주시 구남로6길 12 1층 (이도이동) ,음식점/식음료업,Y,N,N
키센스터디,"제주 제주시 우평로153, 102동 303호 (도평동,도평뜨래별) ",기타교육기관,Y,N,N
씨유 제주덕천점,제주특별자치도 제주시 구좌읍 덕평로 357 ,식자재/유통,Y,N,N
온쌈,"제주 제주시  우령2길 32, (외도일동) 온쌈",음식점/식음료업,Y,Y,N
제주족탕,제주 제주시 애월읍 항몽로 83 1층 (상귀리) ,기타,Y,N,N
막썰어회포장,"제주 제주시 구좌읍 용눈이오름로2, 102호 (종달리) ",기타,Y,N,N
도야지광장,"제주특별자치도 서귀포시 성산읍 고성동서로 48 ,101호",음식점/식음료업,Y,Y,N
법무법인(유한)안팍제주분사무소,"제주 제주시 연삼로401, 2층 (이도이동) ",기타,N,N,N
제주날다공작소,"제주 제주시 한경면 용고로230-10, 1층 (용수리) ",기타,Y,N,N
정은카페,"제주 서귀포시 성산읍 동류암로39번길 9-1, 2층 ",음식점/식음료업,Y,N,N
주로,제주특별자치도 제주시 원노형로 22 (노형동) 지하1층,음식점/식음료업,Y,Y,N
명도암해장국 중앙여고점,제주특별자치도 제주시 남광로2길 43 1층,음식점/식음료업,Y,Y,N
탱탱김밥,제주특별자치도 서귀포시 중앙로 113 102호(서홍동),음식점/식음료업,Y,Y,N
크로플덕오리아가씨제주본점,제주 제주시 서사로 165 1층 (오라일동) ,기타,Y,N,N
제주아카데미,"제주 제주시  도남로17길 3, 3층 (도남동) ",기술/기능 교육,Y,N,Y
제주출장세차,제주특별자치도 제주시 고마로11길 14-1 102호,자동차/주유,Y,Y,N
연동뼈해장국,제주특별자치도 제주시 사장길 12 1층(연동),음식점/식음료업,Y,Y,N
엔비살롱(NBsalon),"제주 서귀포시  일주동로 8818-1, 3층 (서홍동) ",생활/리빙,Y,N,N
귤따멍농장,제주 제주시 애월읍 고하상로 396 (상가리) ,기타,Y,N,N
미샤신제주점,제주특별자치도 제주시 연북로 72 (연동) 1층 미샤,의류/잡화,Y,Y,N
고명선순대국남원점,제주 서귀포시 남원읍 태위로679번길7-1 (남원리) ,음식점/식음료업,Y,N,N
비치움 크린웨이 홈케어,"제주 제주시 논세길16, 202호 (내도동,해뜨란빌1차) ",기타,Y,N,N
세븐일레븐 서귀포얼라이브뮤지엄점,"제주 서귀포시  중문관광로 42, 1층 (색달동) ",식자재/유통,Y,N,N
트리베이커스,"제주 제주시 비월남길10, 1층 (연동) 트리베이커스",음식점/식음료업,Y,Y,N
핸드폰가게,제주특별자치도 서귀포시 남원읍 태위로 686 1층,가전/통신,Y,Y,N
목포고을본점,제주특별자치도 서귀포시 상예로 242 (상예동),음식점/식음료업,Y,Y,N
아일랜드라운지키친,제주특별자치도 제주시 구좌읍 해맞이해안로 1032 2층,음식점/식음료업,Y,Y,N
제이시픽쳐스,제주특별자치도 제주시 평전길 17 202호,생활/리빙,Y,Y,N
탑동고깃집,제주특별자치도 제주시 서부두남길 16-2 1층(건입동),음식점/식음료업,Y,Y,N
쇼쿠도제주,제주특별자치도 제주시 우정로16길 30 1동 1층,음식점/식음료업,Y,Y,N
농산물직매장,제주 서귀포시 일주서로 63 (강정동) ,기타,Y,N,N
브래드핏제주,"제주 제주시 한경면 판포중1길 23, 1층 ",기타,Y,N,N
다호개발,제주특별자치도 제주시 사라봉길 44 (건입동),디자인/인쇄,Y,Y,N
사운드프레소 제주연동점,제주특별자치도 제주시 연화중길 21 (연동) 1층,음식점/식음료업,Y,Y,N
용용선생 제주연동점,"제주 제주시 은남4길 46 1,2층 (연동) ",기타,Y,N,N
성산별곡,제주특별자치도 제주시 원노형4길 17 1층 (노형동),음식점/식음료업,Y,Y,N
나르지오 서귀포점,제주특별자치도 서귀포시 중정로 101 102호,의류/잡화,Y,Y,N
(주)규블리홀딩스,제주 서귀포시 신서로48번길20-9 (강정동) ,기타,Y,N,N
제주아아사진관,"제주 제주시  노형로 357-1, 1층 제주아아사진관 (노형동) ",생활/리빙,Y,N,N
제이플레이줄넘기(아라점),"제주 제주시 인다9길4, 3층 (아라일동) ",기타,Y,N,Y
서준공방,"제주 서귀포시 이어도로1059, 1층 (서호동) ",기타,Y,N,N
에메랄드,제주 서귀포시 중문관광로 222 부영호텔內 1층 (중문동) ,기타,Y,N,N
미래유통,"제주 제주시 오남로20, 101호 (오라일동) ",식자재/유통,Y,N,N
맘스터치 남원점,제주 서귀포시 남원읍 태위로 677-2 1층 (남원리) ,기타,Y,N,N
선경체험농장,"제주 서귀포시 표선면 일주동로 6214, ",기타,Y,N,N
고릴라모둠생선구이,제주특별자치도 서귀포시 일주서로 1262 (상예동),음식점/식음료업,Y,Y,N
포켓파크,제주 제주시 노형1길 18-6 1층 (노형동) ,기타,Y,N,N
콩자씨,"제주 제주시 애월읍 평화로1977, 2층 (상가리) 2층",기술/기능 교육,Y,Y,N
농업회사법인주식회사제주섬사람,제주 제주시 서해안로 490 101호 (용담삼동) ,식자재/유통,Y,N,N
돈앤삼겹삼도점,제주특별자치도 제주시 전농로 35 1층,음식점/식음료업,Y,Y,N
한라생얼큰이삼화점,제주특별자치도 제주시 일주동로 366 1층(삼양이동),음식점/식음료업,Y,Y,N
새미동산,제주특별자치도 제주시 조천읍 종인내길 133 1층,기타,Y,Y,N
아모레카운셀러,제주 서귀포시 중정로 123 302호 (서귀동) ,기타,Y,N,N
흑돼지고을 해비치점,"제주 서귀포시 표선면 민속해안로 575, ",음식점/식음료업,Y,N,N
최고의카페,제주 제주시 신산로 10 지하층 (일도일동) ,음식점/식음료업,Y,N,N
어업회사법인 주식회사 섬사름,제주특별자치도 제주시 서해안로 490 101호,식자재/유통,Y,Y,N
다미국어,"제주 제주시 동광로 55 413호 (이도일동, 파미르파크오피스텔) ",기타,Y,N,N
이안페인트,제주특별자치도 제주시 해안마을10길 54-7 .,건축/철물,Y,Y,N
선명희피자 함덕점,제주특별자치도 제주시 조천읍 함덕20길 5 1층 2호,음식점/식음료업,Y,Y,N
오빗 스튜디오(orbit studio),제주특별자치도 제주시 아란2길 60 1층 103호,생활/리빙,Y,Y,N
제주 젬마의 집,"제주 제주시 구좌읍 종달로5길 27, 1층 ",기타,Y,N,N
아이쁨의원,제주특별자치도 제주시 일주서로 7356 4층 (외도이동),보건/복지,Y,Y,N
술한잔,제주 제주시 천수로6길 10 1층 (이도이동) ,기타,Y,N,N
스테이 연화,제주특별자치도 서귀포시 표선면 번영로 2631 .,여행/숙박,Y,Y,N
분석국어교습소,"제주 제주시 연삼로411, 3층 314호 (이도이동,네오캠퍼스-제주1호점) ",입시/교습학원,Y,N,N
정에스테틱,제주 서귀포시 동부로 24-3 2층 (서귀동) ,기타,Y,N,N
제주39포차,제주특별자치도 제주시 신성로13길 22 2층,음식점/식음료업,Y,Y,N
함골식당,제주특별자치도 제주시 조천읍 함대로 37-24 1층,음식점/식음료업,N,Y,N
엑스,제주 제주시 노형10길 21 1층 (노형동) ,기타,Y,N,N
어놀문화센터삼화지구점,제주특별자치도 제주시 건주로 65 (도련일동) 3층 어놀문화센터,기술/기능 교육,Y,Y,N
팔미육,제주특별자치도 제주시 과원북4길 95 (연동) 1층,음식점/식음료업,Y,Y,N
욜다,"제주특별자치도 서귀포시 색달중앙로 192 ,1층",음식점/식음료업,Y,Y,N
도돈,"제주 제주시 한림읍 한림로354, 1층 (협재리) ",기타,Y,N,N
제라진학원,제주 제주시 우정로13길 7 2층 (외도일동) 제라진학원,입시/교습학원,Y,Y,N
담을제주,제주 제주시 남성로 122 1층 (삼도일동) ,기타,Y,N,N
통큰세차장,제주 제주시 청귤로3길 50 1층 (이도이동) ,기타,Y,N,N
코코찬빠,제주특별자치도 제주시 원노형남1길 18-1 (노형동) 2층,음식점/식음료업,Y,Y,N
레몬비 귀덕사거리점,제주특별자치도 제주시 한림읍 귀덕로 14-1 1층,의류/잡화,Y,Y,N
소락소락제원점,제주 제주시 신대로14길 51 2층 (연동) ,기타,Y,N,N
오당봉갔져,제주특별자치도 서귀포시 중앙로54번길 35 1층 7호 오당봉갔져,의류/잡화,Y,Y,N
너구리정원,제주 서귀포시 표선면 돈오름로 198-23 1층 (표선리) ,기타,Y,N,N
대한천막,"제주 제주시  동문로 108, (일도이동) ",기타,Y,N,N
(주)르벙쓸레브호텔,제주 서귀포시 성산읍 성산등용로17번길35 (성산리) ,여행/숙박,Y,N,N
육향(정육),제주특별자치도 서귀포시 대정읍 하모항구로6번길 25-1 1층,식자재/유통,Y,Y,N
오조(Ojoh),"제주특별자치도 제주시 칠성로길 33 , 1층 101호",귀금속,Y,Y,N
자매포차,"제주 제주시 동화로7, 1층 (화북일동) ",음식점/식음료업,Y,N,N
곱분이곱창시청점,제주특별자치도 제주시 서광로32길 17 1층,음식점/식음료업,Y,Y,N
육향,제주특별자치도 서귀포시 대정읍 하모항구로6번길 25-1 1층,음식점/식음료업,Y,Y,N
카페살리다,"제주 제주시 한림읍 한림해안로460, 1층 (수원리) ",음식점/식음료업,Y,N,N
카페범(CAFEBEOM),제주특별자치도 서귀포시 막숙포로 166 (법환동) 카페 범(CAFE BE:OM),음식점/식음료업,Y,Y,N
다이클로 삼화부영사랑점,제주 제주시 건주로 33 105호 (도련일동) ,기타,Y,N,N
아라한디자인웍스,제주특별자치도 제주시 중앙로 217 (이도이동) 505호,디자인/인쇄,N,Y,N
오일장장터식당,"제주 서귀포시  토평서로11번길 150, (동홍동) ",음식점/식음료업,Y,N,N
태양전복(아라점),"제주 제주시  간월동로 95, (이도이동) ",기타,Y,N,N
엄마의손맛,제주특별자치도 서귀포시 태평로371번길 4 .,음식점/식음료업,Y,Y,N
주식회사리블랭크,제주특별자치도 제주시 고다시길 39 제주시새활용센터 305호,디자인/인쇄,Y,Y,N
메고지고 떡카페,"제주 제주시 조천읍 신북로 60 101동 104호 (신촌리,에스디빌) ",음식점/식음료업,Y,N,N
다움스크린골프,제주 서귀포시 표선면 가시로 13 1충 (표선리) ,문화/체육,Y,N,N
일간제주방송,제주특별자치도 제주시 용남2길 24-1 302호,기타,Y,Y,N
제주삼다수산,"제주 제주시 구좌읍 비자숲길 15-1, 1동 1층 1호 ",식자재/유통,Y,N,N
주식회사 노블루츠,제주특별자치도 제주시 삼봉로2길 6 제1동,의류/잡화,Y,Y,N
폼생폼사,"제주특별자치도 제주시 신대로 151(연동, 남경하이빌) 301호 남경하이빌",기타,Y,Y,N
(주)제주해양관광,제주 서귀포시 성산읍 성산등용로 130-21 1층 (성산리) (성산리) ,여행/숙박,Y,N,N
만물식당,"제주 서귀포시 표선면 표선동서로 260, . ",음식점/식음료업,Y,N,N
마노커피하우스,제주특별자치도 서귀포시 천제연로188번길 6-6 (중문동),음식점/식음료업,Y,Y,N
빵집오빠 제주삼화점,제주특별자치도 제주시 화삼로1길 18 (화북일동),식자재/유통,Y,Y,N
가인한복,"제주 제주시 연삼로349, 1층 (도남동) ",의류/잡화,Y,N,N
강현이네,"제주특별자치도 제주시 신성로 91 ,지하1층 31,32호",음식점/식음료업,Y,Y,N
일공육,제주특별자치도 서귀포시 표선면 표선백사로 106 1호,음식점/식음료업,Y,Y,N
제주아비아,제주특별자치도 제주시 칠성로길 41 (일도일동) 제주아비아,의류/잡화,Y,Y,N
하하스테이(HAHA STAY),제주특별자치도 제주시 선덕로4길 31-4 (연동),여행/숙박,Y,Y,N
석주로,"제주특별자치도 제주시 서광로 250-2 ,1층",음식점/식음료업,Y,Y,N
아라네일,제주특별자치도 서귀포시 표선면 표선동서로 246 표선약국 1층,생활/리빙,Y,Y,N
한두기칼국수,제주특별자치도 제주시 탑동로 113 1층,음식점/식음료업,Y,Y,N
(주)제이피지(JPG),"제주 제주시 조천읍 신북로 531, 1층 1층",음식점/식음료업,N,Y,N
더불어혼듸,제주특별자치도 서귀포시 표선면 표선동서로193번길 37 302호 (세베스트아파트),기타,Y,Y,N
혜랑찌,"제주 제주시 조천읍 비자림로365-40, 1층 (교래리) ",기타,Y,N,N
킵더탑,제주특별자치도 서귀포시 남원읍 중산간동로 6872-33 .,기타,Y,Y,N
컴포즈커피 제주뉴월드화북마트점,제주특별자치도 제주시 일주동로 233 1층,음식점/식음료업,Y,Y,N
회판다,제주특별자치도 서귀포시 색달로 60 (색달동) 1층102호,음식점/식음료업,Y,Y,N
젠틀랩(GENTLE LAB),제주특별자치도 제주시 도령로 132 (연동) 2층 1호 북쪽,생활/리빙,Y,Y,N
할망 꽃 쉼팡,제주특별자치도 제주시 구좌읍 동김길 47-1 단독주택,여행/숙박,Y,Y,N
금산상회,"제주 제주시 제성1길 20 A동 302호 (연동, 준맨션) ",기타,Y,N,N
연막창 제주연동점,제주 제주시 신대로16길 49 (연동) ,기타,N,N,N
꽃보다조명전기,"제주 서귀포시 일주동로 8472 2층 (토평동, 동부건축자재백화점) ",가전/통신,Y,N,N
정음국어교습소,제주특별자치도 제주시 연삼로 411 310-1호,입시/교습학원,Y,Y,N
리준퍼니처,"제주특별자치도 제주시 번영로 389 ,1,2층(봉개동)",가구/인테리어,Y,Y,N
블루오션호,제주 제주시 추자면 묵리2길 67-3 (묵리) ,기타,Y,N,N
히얼밋,제주특별자치도 서귀포시 신서로48번길 51-6 (법환동) 1층,음식점/식음료업,Y,Y,N
주식회사 제주케이엠씨코라아,"제주 제주시  도령로 22, 3층 (노형동) ",기타,Y,N,N
카페포시낭,제주 서귀포시 예래해안로 249 (하예동) ,음식점/식음료업,Y,N,N
비양버거,"제주 제주시 한림읍 금능길67, 1층 (금능리) ",음식점/식음료업,Y,N,N
한국가스24,제주 제주시 연신로 231-1 (영평동) ,기타,N,N,N
김소연 요가원,"제주 제주시 광양9길27, 4층 404호 (이도이동) 502호",문화/체육,Y,Y,Y
가자스크린골프,"제주 제주시 우정로24, 3층 (외도일동) 우정빌딩",문화/체육,Y,Y,N
초록홀릭 농업회사법인 주식회사,"제주 제주시 수덕5길 2 609호 (노형동, 노형세기1차아파트) ",식자재/유통,Y,N,N
숲속쉼,"제주 제주시 구좌읍 충렬로141-1, 1,2,3,4호 (세화리) ",기타,Y,N,N
제주돈소리,"제주특별자치도 제주시 고마로16길 9 ,1층",음식점/식음료업,Y,Y,N
아트왓(ARTWAT)제주팝업스토어,"제주 서귀포시 안덕면 사계남로216번길 29, 105호 ",기타,Y,N,N
(주)창작시스템,"제주 제주시 조천읍 조천우회로 198, ",기타,N,N,N
성모 정신건강의학과의원,"제주 제주시 노형로388, 성모정신건강의학과의원 (노형동) ",보건/복지,Y,N,N
맘이 그리는 별 ABA 연구소 in 서귀,"제주특별자치도 서귀포시 서호중앙로 55 B동 8층 803호 (서호동, 유포리아 지식산업센터)",보건/복지,Y,Y,N
(주) 바다술상,제주특별자치도 제주시 월랑로8길 1 402-H03호 아란야플라자,식자재/유통,N,Y,N
비유월 플라워스튜디오(BEYUWOL flower stu,제주특별자치도 제주시 노형6길 17 (노형동) 1층,생활/리빙,Y,Y,N
준케어필라핏,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8 제이동 129호,문화/체육,Y,Y,N
호아요가숙소,"제주 서귀포시 서문서로5번길13, 1층 (서귀동) ",문화/체육,Y,N,N
정관장대정점,제주특별자치도 서귀포시 대정읍 신영로 124-1 .,식자재/유통,Y,Y,N
올리브+,"제주특별자치도 제주시 중앙로 지하60 (일도일동) 중앙지하상가  215호, 216호",의류/잡화,Y,Y,N
대아,"제주 제주시 신산로77, 1층 (일도이동) ",기타,Y,N,N
세븐일레븐 제주정든로점,"제주 제주시 정든로6길11, 1층 (이도이동) ",식자재/유통,Y,N,N
매일올레특산물,제주 서귀포시 중앙로42번길15 (서귀동) ,기타,Y,N,N
쉬언,"제주 서귀포시 성산읍 고성오조로 70-2, ",기타,Y,N,N
주승재 서울내과의원,제주특별자치도 제주시 중앙로 613 (아라일동) 3층,보건/복지,Y,Y,N
제주메밀면가,제주특별자치도 제주시 테우해안로 152 1층(이호일동),음식점/식음료업,Y,Y,N
그때그집식당,제주 서귀포시 중정로61번길6 (서귀동) ,음식점/식음료업,Y,N,N
카페봄봄 제주오일장점,제주특별자치도 제주시 성신북길 36 삼성빌라 1층 101호,음식점/식음료업,Y,Y,N
무릉오토바이,제주 서귀포시 대정읍 무릉사장로68 (무릉리) ,기타,Y,N,N
으뜸원마늘갈비,제주특별자치도 제주시 구좌읍 김녕로 129 1층,음식점/식음료업,Y,Y,N
셀파우등생생각나무교실,"제주특별자치도 서귀포시 서호남로 91 (서호동, 서귀포혁신 사랑으로 부영아파트) 101동 102호",입시/교습학원,Y,Y,N
주식회사 비지에이치코리아제주시지점,"제주 제주시  도령로 27, (노형동) ",기타,N,N,N
칸나네일(라디다뷰티),제주 서귀포시 동홍서로112번길 19 1층 (동홍동) ,생활/리빙,Y,N,N
눈목,제주특별자치도 제주시 구좌읍 중산간동로 2254 .,의류/잡화,Y,Y,N
쎄잉글리시영어교습소,제주특별자치도 제주시 화삼로1길 20 A동 1층 (화북일동),기술/기능 교육,Y,Y,N
GS25 대정하모점,"제주 서귀포시 대정읍 신영로 26, 1층 104호 (하모리 1170-3) ",식자재/유통,Y,N,N
더로하스,"제주 제주시 오복5길18, 101호 (이도이동,삼국빌라) ",기타,Y,N,N
경필이네,"제주 서귀포시 표선면 표선중앙로104, 1층 (표선리) ",기타,Y,N,N
게으른모퉁이빵집,제주 제주시 애월읍 하귀로13길 10-8 (하귀1리) ,음식점/식음료업,Y,N,N
할로마이,제주특별자치도 서귀포시 하논로72번길 13 주1동 (서홍동),음식점/식음료업,Y,Y,N
어니스트밀크,"제주 서귀포시 성산읍 중산간동로3147-7, 2층 (수산리) ",기타,N,N,N
우디한섬,"제주 제주시 우도면 우도해안길 800, 1층 ",기타,Y,N,N
데저트알씨(RC),"제주 제주시 도남로168-15, 지하1층 (아라일동) ",기타,Y,N,N
홍키친,제주 서귀포시 동홍로20 (서귀동) 홍키친,음식점/식음료업,Y,Y,N
써니호텔(Sunny Hotel),"제주 서귀포시 대정읍 신영로 87-1, 934 ",여행/숙박,Y,N,N
윤선생우리집앞영어교실삼성초점영,"제주특별자치도 제주시 서광로29길 28 1층 101호(이도일동, 태광아파트)",외국어/언어,Y,Y,N
엉또정,"제주특별자치도 서귀포시 중산간서로157번길 28-6 1층 (강정동,제주M리조트)",음식점/식음료업,Y,Y,N
에스칼프린트 제주외도점,제주 제주시 우정로15길 21 1층 (외도일동) ,기타,Y,N,N
제주초연갈비,"제주 제주시 우정로5길22, 1층 외도일동 (외도일동) ",음식점/식음료업,Y,N,N
비비라게,"제주 제주시 관덕로13길11, 1층 (일도일동) ",기타,Y,N,N
유니크 학생복,제주 제주시 동광로1길 24 1층 (이도일동) ,기타,Y,N,N
제쭈 중문점,"제주 서귀포시 천제연로207번길7, 가동 102호 (중문동,더프라임시티) ",기타,Y,N,N
남양통닭 인화점,제주특별자치도 제주시 고마로17길 3 (일도이동),음식점/식음료업,Y,Y,N
슈마커 플러스 연동점,제주특별자치도 제주시 신광로 52 (연동) 2층 201호,의류/잡화,N,Y,N
파랑오브레코즈,제주특별자치도 제주시 광양14길 17-6 (이도이동) 1층 파랑오브레코즈,생활/리빙,Y,Y,N
만수강,제주 제주시 중앙로94-1 (삼도이동) ,기타,Y,N,N
데이지아로마,제주 제주시 애월읍 엄수로 21 1층 ,생활/리빙,Y,N,N
썸커피,"제주특별자치도 제주시 월랑로4길 32 (노형동, 제인빌라)1층101호",음식점/식음료업,Y,Y,N
유제이피티&필라테스,제주 제주시 남녕로 25 302호 (노형동) ,문화/체육,Y,N,Y
농업회사법인(주)제주구루바이오,제주특별자치도 제주시 조천읍 선흘남4길 136 (선흘리),식자재/유통,Y,Y,N
베르데 필라테스,제주 제주시 연북로 68 2층 (연동) ,문화/체육,Y,N,N
제주덴트,"제주 제주시  일주동로 146, (화북일동) ",기타,Y,N,N
국단수산,제주특별자치도 제주시 우도면 주흥2길 2 .,식자재/유통,Y,Y,N
한쌤플러스 수학교습소,"제주 제주시 비월길26, 102호 (연동,울담뜨레빌3차아파트) ",입시/교습학원,Y,N,N
카페산들랑,제주특별자치도 제주시 구좌읍 세화합전2길 10-2 1층,음식점/식음료업,Y,Y,N
제주사랑호,"제주 서귀포시 성산읍 성산등용로130-21, 1층 (성산리) ",기타,Y,N,N
유필라,"제주 제주시 과원로78, B동 1층 (연동) ",기타,Y,N,Y
조천TOP스크린골프,제주특별자치도 제주시 조천읍 신북로 228 1층 조천탑 스크린 골프,문화/체육,Y,Y,N
주식회사 제주돈애랑식품,제주특별자치도 제주시 한림읍 금능농공길 48-18 .,식자재/유통,N,Y,N
중식이,"제주특별자치도 제주시 신성로 91 지하1층 15호,18호 ",기타,Y,N,N
코코리,제주특별자치도 제주시 도남로 21-1 1층,생활/리빙,Y,Y,N
케이앤제이미장,"제주 제주시 연삼로305, 1층 (도남동) ",기타,Y,N,N
파리바게뜨제주위미농협하나로,제주 서귀포시 남원읍 일주동로 7826 ,음식점/식음료업,Y,N,N
고운한복,"제주 제주시  복지로북길 33, 1층 (도남동) 1층",의류/잡화,Y,Y,N
오늘은국수,제주 제주시 신설로6길 20 1층 (아라이동) ,음식점/식음료업,Y,N,N
(주) 유니컴퍼니,제주특별자치도 제주시 연삼로 105 1층 103호,문화/체육,Y,Y,N
노바포차,제주 제주시 우정로15길 42-1 1층 (외도일동) 1층노바포차,음식점/식음료업,Y,Y,N
비욘드(Beyond)영수학원,"제주 서귀포시 동홍남로31, 3층 층 (동홍동,메종드동홍) 3층",입시/교습학원,Y,Y,N
더모던,제주특별자치도 제주시 연삼로 60 (연동) 5층 일부호,기타,Y,Y,N
신안녕김밥,"제주 서귀포시  명동로 19-1, 2층 (서귀동) ",음식점/식음료업,Y,N,N
바나다뷰티,"제주 제주시  중앙로 57, 2층(일도일동) ",생활/리빙,Y,N,N
시로야,제주 서귀포시 색달로87 (색달동) ,기타,Y,N,N
함덕카페라라떼,제주특별자치도 제주시 조천읍 신북로 494 1층,음식점/식음료업,Y,Y,N
몽실펫,"제주 제주시 인다4길41-2, 1층 (아라일동) ",기타,Y,N,N
단 미디어 (DAN MEDIA),제주특별자치도 제주시 남성로 127 4층,기타,Y,Y,N
아이리스,"제주특별자치도 제주시 중앙로 지하 60 336호, 337호 (일도일동, 중앙지하상가)",의류/잡화,Y,Y,N
괴기,제주 제주시 연삼로 529 1층 (일도이동) ,기타,Y,N,N
고깃리88번지제주도남점,제주특별자치도 제주시 신성로 82-2 (도남동) 1층,음식점/식음료업,Y,Y,N
담화제주화과자,"제주 제주시 용문로21길11, 1층 (용담이동) 1층",음식점/식음료업,Y,Y,N
구석집제주본점,제주특별자치도 제주시 애월읍 애월해안로 97 1층,음식점/식음료업,Y,Y,N
사계절국수,"제주특별자치도 제주시 조천읍 남조로 2115 ,2동",음식점/식음료업,Y,Y,N
베이비카페어놀,제주특별자치도 제주시 노형로 407 (노형동) 408호 베이비카페어놀,음식점/식음료업,Y,Y,N
마츠,제주특별자치도 제주시 도남로7길 39 (도남동) 1층 마츠,음식점/식음료업,Y,Y,N
한솔노피곰외도센터학원,"제주 제주시 월대4길17, 1층 (외도이동) 한솔노피곰 외도센터학원",입시/교습학원,Y,Y,N
건축사사무소 성림,"제주특별자치도 제주시 도남로 89 지하 (도남동, 까사 펠리스)",건축/철물,Y,Y,N
한남동그집,"제주특별자치도 제주시 원노형남1길 25 ,1층(노형동)",음식점/식음료업,Y,Y,N
네일롱,"제주 제주시  중앙로 46, 1층 (일도일동) ",생활/리빙,Y,N,N
스튜디오춘우,제주특별자치도 제주시 관덕로13길 10-1 (일도일동) 지하,생활/리빙,Y,Y,N
멕시코니치킨,제주 서귀포시 대정읍 하모상가로 34 (멕시코니치킨) ,음식점/식음료업,Y,N,N
살롱드엠제이(SALON DE MJ),"제주 서귀포시 월드컵로63, 3층 (법환동) ",생활/리빙,Y,N,N
수필 하우스,제주 제주시 구좌읍 종달논길 50-1 ,기타,Y,N,N
(주) 에이스제주스퀘어,"제주 제주시 연삼로60, 1층 (연동) ",기타,N,N,N
수상한 나룻배,제주 제주시 한림읍 귀덕11길 15 ,기타,Y,N,N
짐다오,제주 제주시 용해로 123 1층 (용담이동) ,기타,Y,N,N
오사카데스 탑동점,제주특별자치도 제주시 중앙로 27-1 2~3층 (일도일동),음식점/식음료업,Y,Y,N
대정골프연습장,제주특별자치도 서귀포시 대정읍 상모와우로 71-31 .,문화/체육,Y,Y,N
엔마노 enmano,"제주 제주시 중앙로8길11, 2층 (삼도이동) ",기타,Y,N,N
안돈오마카세 제주본점,"제주 제주시 애월읍 애월북서길69, 1층 (애월리) ",기타,N,N,N
빛의교차점,제주 제주시 구좌읍 일주동로 3719 1층 ,기타,Y,N,N
원트헤어,"제주 제주시 독짓골4길 11-6 1층 104호 (도남동,도남우주아파트) 아파트 후문방향 원트헤어 미용실",생활/리빙,Y,Y,N
씨유 서귀포문부로점,제주특별자치도 서귀포시 문부로 13 (동홍동) ,식자재/유통,Y,N,N
자연치유쑥뜸,"제주 서귀포시  홍중로 74, (서홍동, 건강사우나) ",기타,Y,N,N
커들독스,"제주 제주시 애월읍 산록서로 383, 1동 1층 1호 ",기타,Y,N,N
라라,제주 제주시 조천읍 남조로 1843-1 푸드스퀘어 1동 1층 201호 ,기타,Y,N,N
치맥집칼호텔점,제주특별자치도 제주시 중앙로 135-1 (이도일동),음식점/식음료업,Y,Y,N
자동차목욕탕,제주 제주시 연북로 668 1층 (이도이동) ,생활/리빙,Y,N,N
대신화물택배,제주 제주시 애월읍 애원로 90 (애월리) ,기타,Y,N,N
테왁가게,"제주 서귀포시 하신상로68번길 1 402호 (신효동, 청우썬비치빌) ",기타,Y,N,N
(주)제이와이엠씨,"제주 제주시 구좌읍 동복로68-1, 1층 (동복리) ",기타,N,N,N
달코미커피,제주 제주시 애월읍 애월로 11 1층 ,음식점/식음료업,Y,N,N
문(Moon)퍼스널트레이닝센터,"제주 제주시  정존3길 26, 지하1층층(노형동,헤레스노형) B1",문화/체육,Y,Y,N
플랜B요리친구들,제주 서귀포시 중정로5번길 15 1층 104호 (서귀동) ,기타,Y,N,N
바르헤어,"제주특별자치도 제주시 도령로13길 9 (연동, 제주베스트빌라) 1층 102호 바르헤여",생활/리빙,Y,Y,N
구제세상,"제주 서귀포시 일주동로8493, 1층 103호 (토평동) ",기타,Y,N,N
스튜디오 알로롱,제주특별자치도 제주시 신설로9길 12-6 1층,음식점/식음료업,Y,Y,N
드럼공간 법원점 음악학원,"제주 제주시  연삼로 400, 5층 (이도이동) ",입시/교습학원,Y,N,N
매우네,"제주 제주시 동문로9길2, 1층 (일도일동) ",기타,Y,N,N
윤가네흑돼지대패삼겹살,제주특별자치도 제주시 조천읍 신북로 572 1층,음식점/식음료업,Y,Y,N
게이트 아카데미 제2학원,"제주 서귀포시 대정읍 글로벌에듀로145번길40, 3층 304호 (구억리) 304호",외국어/언어,Y,Y,N
에크,"제주 제주시 한라대학로114, 지하1층 (노형동) ",기타,Y,N,N
가령로40,"제주 제주시  가령로 40, 1층 (이도이동) ",기타,Y,N,N
토계촌,제주특별자치도 서귀포시 일주동로 8884 토계촌식당,음식점/식음료업,Y,Y,N
